date,precipitation,sub,event,pre_impact,impact
2017/7/1,0,0,0,0,0
2017/7/2,0.5,0,0,0,0
2017/7/3,0,0,0,0,0
2017/7/4,72,0,âJ,0,0
2017/7/5,9.5,0,0,0,0
2017/7/6,0,0,0,0,0
2017/7/7,0,0,0,0,0
2017/7/8,0,0,0,0,0
2017/7/9,0,0,0,0,0
2017/7/10,0,0,0,0,0
2017/7/11,0,0,0,0,0
2017/7/12,16.5,0,âJ,0,0
2017/7/13,0,0,0,0,0
2017/7/14,10.5,0,âJ,0,0
2017/7/15,0,0,0,0,0
2017/7/16,0,0,0,0,0
2017/7/17,0,0,0,0,0
2017/7/18,0,0,0,0,0
2017/7/19,0,0,0,0,0
2017/7/20,0,0,0,0,0
2017/7/21,5.5,0,0,0,0
2017/7/22,0,0,0,0,0
2017/7/23,0,0,0,0,0
2017/7/24,0,0,0,0,0
2017/7/25,10.5,0,âJ,0,0
2017/7/26,21,0,âJ,0,0
2017/7/27,0,0,0,0,0
2017/7/28,0,0,0,0,0
2017/7/29,0,0,0,0,0
2017/7/30,0,0,0,0,0
2017/7/31,0,0,0,0,0
2017/8/1,0,0,0,0,0
2017/8/2,9,0,0,0,0
2017/8/3,5,0,0,0,0
2017/8/4,3.5,0,0,0,0
2017/8/5,2.5,0,0,0,0
2017/8/6,0,0,0,0,0
2017/8/7,127.5,0,âJ,0,0
2017/8/8,1,0,0,0,0
2017/8/9,0,0,0,0,0
2017/8/10,0,0,0,0,0
2017/8/11,10.5,0,âJ,0,0
2017/8/12,0,0,0,0,0
2017/8/13,0,0,0,0,0
2017/8/14,0,0,0,0,0
2017/8/15,7,0,0,0,0
2017/8/16,5,0,0,0,0
2017/8/17,0,0,0,0,0
2017/8/18,27,0,âJ,0,0
2017/8/19,0,0,0,0,0
2017/8/20,0,0,0,0,0
2017/8/21,0,0,0,0,0
2017/8/22,6.5,0,0,0,0
2017/8/23,1.5,0,0,0,0
2017/8/24,0,0,0,0,0
2017/8/25,0,0,0,0,0
2017/8/26,2.5,0,0,0,0
2017/8/27,0,0,0,0,0
2017/8/28,0,0,0,0,0
2017/8/29,0,0,0,0,0
2017/8/30,0,0,0,0,0
2017/8/31,0,0,0,0,0
2017/9/1,0,0,0,0,0
2017/9/2,0,0,0,0,0
2017/9/3,0,0,0,0,0
2017/9/4,0,0,0,0,0
