date,shopId,dayofweek,salesTotal,CustNum,google,kankou,kankou_tomorrow,kankou_after2days,kankou_after3days,kankou_after4days,kankou_after5days,kankou_after6days,tabelog,tabelog_rating,gurunavi,hitosara,weather_today,rain_precipitation_today,rain_precipitation_today_daytime,temp_today_min,temp_today_max,weather_tomorrow,rain_precipitation_tomorrow,rain_precipitation_tomorrow_daytime,temp_tomorrow_min,temp_tomorrow_max,weather_after2days,rainypercent_after2days,temp_after2days_min,temp_after2days_max,weather_after3days,rainypercent_after3days,temp_after3days_min,temp_after3days_max,weather_after4days,rainypercent_after4days,temp_after4days_min,temp_after4days_max,weather_after5days,rainypercent_after5days,temp_after5days_min,temp_after5days_max,weather_after6days,rainypercent_after6days,temp_after6days_min,temp_after6days_max,google_rating,storeId,kankouReal,kankouReal_tomorrow,kankouReal_after2days,kankouReal_after3days,kankouReal_after4days,kankouReal_after5days,kankouReal_after6days,id
2020-04-01T00:00:00.0000000,2,3,null,null,null,1429,1835,2751,2488,1488,775,510,228,3.47,null,null,雨時々曇,23,17,12,14,晴時々曇,0,0,10,14,晴時々曇,10,5,16,晴時々曇,10,4,20,晴れ,0,4,15,晴れ,0,3,17,曇時々晴,20,5,19,null,1,162,569,1198,772,508,284,122,4089
2020-04-01T00:00:00.0000000,1,3,null,null,161,1429,1835,2751,2488,1488,775,510,228,3.47,null,null,雨時々曇,23,17,12,14,晴時々曇,0,0,10,14,晴時々曇,10,5,16,晴時々曇,10,4,20,晴れ,0,4,15,晴れ,0,3,17,曇時々晴,20,5,19,4,1,162,569,1198,772,508,284,122,4086
2020-03-31T00:00:00.0000000,2,2,111585,95,null,3158,1429,1835,2751,2488,1488,775,230,3.47,null,null,雨,7,4,10,13,曇時々雨,59,50,13,13,晴時々曇,10,8,15,晴れ,0,4,19,晴時々曇,10,3,18,晴れ,10,4,17,晴時々曇,20,4,18,null,1,1462,162,569,1198,772,508,284,4080
2020-03-31T00:00:00.0000000,1,2,183058,92,154,3158,1429,1835,2751,2488,1488,775,230,3.47,null,null,雨,7,4,10,13,曇時々雨,59,50,13,13,晴時々曇,10,8,15,晴れ,0,4,19,晴時々曇,10,3,18,晴れ,10,4,17,晴時々曇,20,4,18,4,1,1462,162,569,1198,772,508,284,4077
2020-03-30T00:00:00.0000000,2,1,197419,153,null,3157,3158,1429,1835,2751,2488,1488,230,3.47,null,null,雨,1,2,11,13,雨,0,0,10,15,雨時々曇,80,11,16,晴れ,10,7,18,晴れ,0,4,19,晴時々曇,10,4,17,晴れ,0,3,17,null,1,1543,1462,162,569,1198,772,508,4071
2020-03-30T00:00:00.0000000,1,1,459392,206,103,3157,3158,1429,1835,2751,2488,1488,230,3.47,null,null,雨,1,2,11,13,雨,0,0,10,15,雨時々曇,80,11,16,晴れ,10,7,18,晴れ,0,4,19,晴時々曇,10,4,17,晴れ,0,3,17,4,1,1543,1462,162,569,1198,772,508,4068
2020-03-29T00:00:00.0000000,2,1,399707,370,null,4156,3157,3158,1429,1835,2751,2488,214,3.47,null,null,曇時々晴,2,0,9,17,曇時々雨,0,1,8,14,曇一時雨,60,8,14,雨,100,10,17,晴れ,10,7,18,晴れ,10,4,17,晴れ,10,3,16,null,1,2660,1543,1462,162,569,1198,772,4063
2020-03-29T00:00:00.0000000,1,1,652850,276,98,4156,3157,3158,1429,1835,2751,2488,214,3.47,null,null,雨のち曇,2,0,9,17,曇時々雨,0,1,9,14,曇一時雨,60,8,14,雨,100,10,17,晴れ,10,7,18,晴れ,10,4,17,晴れ,10,3,16,4,1,2660,1543,1462,162,569,1198,772,4060
2020-03-28T00:00:00.0000000,2,0,316418,285,null,6683,4156,3157,3158,1429,1835,2751,318,3.47,null,null,曇時々雨,2,1,11,19,雨のち晴,1,0,9,18,曇一時雨,50,5,12,曇一時雨,70,8,16,曇時々雨,90,10,17,晴時々曇,20,7,18,晴れ,0,4,18,null,1,5056,2660,1543,1462,162,569,1198,4053
2020-03-28T00:00:00.0000000,1,0,560978,253,93,6683,4156,3157,3158,1429,1835,2751,318,3.47,null,null,曇時々雨,2,1,11,19,雨のち晴,1,0,9,18,曇のち雨,60,5,13,曇一時雨,70,8,16,曇時々雨,90,10,17,晴時々曇,20,7,18,晴れ,0,4,18,4,1,5056,2660,1543,1462,162,569,1198,4050
