date,shopId,dayofweek,salesTotal,CustNum,google,kankou,kankou_tomorrow,kankou_after2days,kankou_after3days,kankou_after4days,kankou_after5days,kankou_after6days,tabelog,tabelog_rating,gurunavi,hitosara,weather_today,rain_precipitation_today,rain_precipitation_today_daytime,temp_today_min,temp_today_max,weather_tomorrow,rain_precipitation_tomorrow,rain_precipitation_tomorrow_daytime,temp_tomorrow_min,temp_tomorrow_max,weather_after2days,rainypercent_after2days,temp_after2days_min,temp_after2days_max,weather_after3days,rainypercent_after3days,temp_after3days_min,temp_after3days_max,weather_after4days,rainypercent_after4days,temp_after4days_min,temp_after4days_max,weather_after5days,rainypercent_after5days,temp_after5days_min,temp_after5days_max,weather_after6days,rainypercent_after6days,temp_after6days_min,temp_after6days_max,google_rating,storeId,kankouReal,kankouReal_tomorrow,kankouReal_after2days,kankouReal_after3days,kankouReal_after4days,kankouReal_after5days,kankouReal_after6days,id
2017-07-01T00:00:00.0000000,1,6,789290,368,82,2339,,,,,,,871,3.54,221,84,,,,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,1
2017-07-02T00:00:00.0000000,1,0,1024830,462,92,1392,,,,,,,836,3.54,288,94,,,,28,33,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,2
2017-07-03T00:00:00.0000000,1,1,328250,154,60,773,,,,,,,508,3.54,217,68,,,,29,35,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,3
2017-07-04T00:00:00.0000000,1,2,320861,158,71,951,,,,,,,626,3.54,84,111,,,,27,31,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,4
2017-07-05T00:00:00.0000000,1,3,359703,173,86,970,,,,,,,431,3.54,88,66,,,,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,5
2017-07-06T00:00:00.0000000,1,4,501675,226,85,718,,,,,,,673,3.54,152,68,,,,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,6
2017-07-07T00:00:00.0000000,1,5,401828,163,74,1237,,,,,,,498,3.54,61,82,,,,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,7
2017-07-08T00:00:00.0000000,1,6,743628,334,92,3979,,,,,,,932,3.54,167,85,,,,28,34,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,8
2017-07-09T00:00:00.0000000,1,0,888732,393,100,2146,,,,,,,769,3.54,165,111,,,,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,9
2017-07-10T00:00:00.0000000,1,1,441044,220,94,1418,,,,,,,602,3.54,143,92,,,,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,10
2017-07-11T00:00:00.0000000,1,2,413247,196,78,1611,,,,,,,780,3.54,122,94,,,,27,33,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,11
2017-07-12T00:00:00.0000000,1,3,347005,152,94,1646,,,,,,,841,3.54,93,83,,,,28,33,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,12
2017-07-13T00:00:00.0000000,1,4,542924,226,94,1678,,,,,,,683,3.54,120,150,,,,27,32,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,13
2017-07-14T00:00:00.0000000,1,5,400823,172,94,2396,,,,,,,811,3.54,226,118,,,,27,31,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,14
2017-07-15T00:00:00.0000000,1,6,933660,381,113,6856,,,,,,,872,3.54,123,115,,,,28,32,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,15
2017-07-16T00:00:00.0000000,1,0,1383264,633,118,7087,,,,,,,1278,3.54,140,133,,,,29,35,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,16
2017-07-17T00:00:00.0000000,1,1,947282,374,110,3486,,,,,,,1125,3.54,214,111,,,,28,33,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,17
2017-07-18T00:00:00.0000000,1,2,365528,149,89,1820,,,,,,,582,3.54,71,95,,,,28,35,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,18
2017-07-19T00:00:00.0000000,1,3,405582,198,103,2027,,,,,,,547,3.54,29,78,,,,27,32,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,19
2017-07-20T00:00:00.0000000,1,4,512601,236,93,2717,,,,,,,734,3.54,124,83,,,,27,32,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,20
2017-07-21T00:00:00.0000000,1,5,329581,148,64,5703,,,,,,,369,3.54,78,70,,,,27,31,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,21
2017-07-22T00:00:00.0000000,1,6,759115,297,80,6446,,,,,,,704,3.54,36,95,,,,28,34,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,22
2017-07-23T00:00:00.0000000,1,0,844032,308,75,5458,,,,,,,511,3.54,150,90,,,,28,33,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,23
2017-07-24T00:00:00.0000000,1,1,372862,191,109,5183,,,,,,,518,3.54,51,91,,,,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,24
2017-07-25T00:00:00.0000000,1,2,402630,179,97,4111,,,,,,,445,3.54,73,91,,,,27,33,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,25
2017-07-26T00:00:00.0000000,1,3,435700,212,106,4332,,,,,,,485,3.54,172,95,,,,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,26
2017-07-27T00:00:00.0000000,1,4,454690,206,105,4971,,,,,,,483,3.54,100,91,,,,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,27
2017-07-28T00:00:00.0000000,1,5,567610,277,117,8372,,,,,,,535,3.54,75,102,,,,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,28
2017-07-29T00:00:00.0000000,1,6,600850,269,104,9646,,,,,,,797,3.54,281,147,,,,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,29
2017-07-30T00:00:00.0000000,1,0,914700,411,108,6710,,,,,,,732,3.54,119,147,,,,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,30
2017-07-31T00:00:00.0000000,1,1,587630,283,91,4628,,,,,,,528,3.54,100,76,,,,27,33,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,31
2017-08-01T00:00:00.0000000,1,2,661830,318,92,4628,,,,,,,1081,3.54,106,85,,,,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,32
2017-08-02T00:00:00.0000000,1,3,476570,234,111,5274,,,,,,,821,3.54,107,75,,,,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,33
2017-08-03T00:00:00.0000000,1,4,524920,247,98,6994,,,,,,,516,3.54,181,114,,,,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,34
2017-08-04T00:00:00.0000000,1,5,526200,254,93,6772,,,,,,,561,3.54,131,89,,,,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,35
2017-08-05T00:00:00.0000000,1,6,669190,311,105,6447,,,,,,,738,3.54,155,117,,,,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,36
2017-08-06T00:00:00.0000000,1,0,900150,451,143,5288,,,,,,,579,3.54,247,95,,,,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,37
2017-08-07T00:00:00.0000000,1,1,532930,247,118,5288,,,,,,,687,3.54,163,145,,,,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,38
2017-08-08T00:00:00.0000000,1,2,532930,247,106,5311,,,,,,,736,3.54,208,152,,,,25,34,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,39
2017-08-09T00:00:00.0000000,1,3,695120,310,166,6906,,,,,,,831,3.54,203,119,,,,26,34,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,40
2017-08-10T00:00:00.0000000,1,4,768610,392,131,9337,,,,,,,723,3.54,171,135,,,,26,34,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,41
2017-08-11T00:00:00.0000000,1,5,1057680,492,137,10027,,,,,,,911,3.54,177,122,,,,27,34,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,42
2017-08-12T00:00:00.0000000,1,6,1440060,576,166,9211,,,,,,,1094,3.54,155,234,,,,25,34,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,43
2017-08-13T00:00:00.0000000,1,0,1491000,645,138,11263,,,,,,,905,3.54,298,176,,,,25,33,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,44
2017-08-14T00:00:00.0000000,1,1,1417250,564,177,9714,,,,,,,1112,3.54,241,173,,,,24,34,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,45
2017-08-15T00:00:00.0000000,1,2,1196840,462,143,9538,,,,,,,671,3.54,167,177,,,,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,46
2017-08-16T00:00:00.0000000,1,3,991320,409,154,8985,,,,,,,894,3.54,172,194,,,,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,47
2017-08-17T00:00:00.0000000,1,4,1012910,501,135,8985,,,,,,,906,3.54,184,157,,,,25,32,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,48
2017-08-18T00:00:00.0000000,1,5,964930,436,115,8985,,,,,,,672,3.54,166,169,,,,25,33,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,49
2017-08-19T00:00:00.0000000,1,6,959420,464,105,8331,,,,,,,700,3.54,109,169,,,,25,32,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,50
2017-08-20T00:00:00.0000000,1,0,1080640,502,113,8331,,,,,,,758,3.54,79,90,,,,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,51
2017-08-21T00:00:00.0000000,1,1,809640,384,107,6257,,,,,,,732,3.54,195,181,,,,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,52
2017-08-22T00:00:00.0000000,1,2,740220,357,138,6328,,,,,,,896,3.54,50,109,,,,27,33,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,53
2017-08-23T00:00:00.0000000,1,3,983260,439,129,6328,,,,,,,710,3.54,153,106,,,,24,34,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,54
2017-08-24T00:00:00.0000000,1,4,458620,216,116,6328,,,,,,,637,3.54,88,123,,,,24,35,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,55
2017-08-25T00:00:00.0000000,1,5,658000,322,138,7513,,,,,,,693,3.54,141,114,,,,27,33,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,56
2017-08-26T00:00:00.0000000,1,6,888170,394,117,7513,,,,,,,653,3.54,148,85,,,,24,30,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,57
2017-08-27T00:00:00.0000000,1,0,1147230,532,134,5986,,,,,,,998,3.54,41,102,,,,24,28,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,,,,,,,,58
