date,salesTotal,CustNum,kankou,tabelog,day1_sales,day1_kankou,day1_tabelog,event_impact,GW,お盆,イベント,クリスマス,三連休,交通規制,元日,台風,大晦日,祝日,雨
2017-07-08,743628.0,334.0,3979.0,932.0,,2146.0,,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-09,888732.0,393.0,2146.0,769.0,743628.0,1418.0,932.0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10,441044.0,220.0,1418.0,602.0,888732.0,1611.0,769.0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-11,413247.0,196.0,1611.0,780.0,441044.0,1646.0,602.0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-12,347005.0,152.0,1646.0,841.0,413247.0,1678.0,780.0,-5,0,0,0,0,0,0,0,0,0,0,1
2017-07-13,542924.0,226.0,1678.0,683.0,347005.0,2396.0,841.0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-14,400823.0,172.0,2396.0,811.0,542924.0,6856.0,683.0,-5,0,0,0,0,0,0,0,0,0,0,1
2017-07-15,933660.0,381.0,6856.0,872.0,400823.0,7087.0,811.0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-16,1383264.0,633.0,7087.0,1278.0,933660.0,3486.0,872.0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-17,947282.0,374.0,3486.0,1125.0,1383264.0,1820.0,1278.0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-18,365528.0,149.0,1820.0,582.0,947282.0,2027.0,1125.0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-19,405582.0,198.0,2027.0,547.0,365528.0,2717.0,582.0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-20,512601.0,236.0,2717.0,734.0,405582.0,5703.0,547.0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-21,329581.0,148.0,5703.0,369.0,512601.0,6446.0,734.0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-22,759115.0,297.0,6446.0,704.0,329581.0,5458.0,369.0,0,0,0,0,0,0,0,0,0,0,0,0
