"","date","salesTotal","CustNum","kankou","tabelog","day1_sales","day1_kankou","day1_tabelog","event_impact","GW","お盆","イベント","クリスマス","三連休","交通規制","元日","台風","大晦日","祝日","雨"
"1","2017-07-08",743628,334,3979,932,NA,2146,NA,0,0,0,0,0,0,0,0,0,0,0,0
"2","2017-07-09",888732,393,2146,769,743628,1418,932,0,0,0,0,0,0,0,0,0,0,0,0
"3","2017-07-10",441044,220,1418,602,888732,1611,769,0,0,0,0,0,0,0,0,0,0,0,0
"4","2017-07-11",413247,196,1611,780,441044,1646,602,0,0,0,0,0,0,0,0,0,0,0,0
"5","2017-07-12",347005,152,1646,841,413247,1678,780,3.11402979163698,0,0,0,0,0,0,0,0,0,0,1
"6","2017-07-13",542924,226,1678,683,347005,2396,841,0,0,0,0,0,0,0,0,0,0,0,0
"7","2017-07-14",400823,172,2396,811,542924,6856,683,3.11402979163698,0,0,0,0,0,0,0,0,0,0,1
"8","2017-07-15",933660,381,6856,872,400823,7087,811,0,0,0,0,0,0,0,0,0,0,0,0
"9","2017-07-16",1383264,633,7087,1278,933660,3486,872,0,0,0,0,0,0,0,0,0,0,0,0
"10","2017-07-17",947282,374,3486,1125,1383264,1820,1278,0,0,0,0,0,0,0,0,0,0,0,0
"11","2017-07-18",365528,149,1820,582,947282,2027,1125,0,0,0,0,0,0,0,0,0,0,0,0
"12","2017-07-19",405582,198,2027,547,365528,2717,582,0,0,0,0,0,0,0,0,0,0,0,0
"13","2017-07-20",512601,236,2717,734,405582,5703,547,0,0,0,0,0,0,0,0,0,0,0,0
"14","2017-07-21",329581,148,5703,369,512601,6446,734,0,0,0,0,0,0,0,0,0,0,0,0
"15","2017-07-22",759115,297,6446,704,329581,5458,369,0,0,0,0,0,0,0,0,0,0,0,0
"16","2017-07-23",844032,308,5458,511,759115,5183,704,0,0,0,0,0,0,0,0,0,0,0,0
"17","2017-07-24",372862,191,5183,518,844032,4111,511,0,0,0,0,0,0,0,0,0,0,0,0
"18","2017-07-25",402630,179,4111,445,372862,4332,518,3.11402979163698,0,0,0,0,0,0,0,0,0,0,1
"19","2017-07-26",435700,212,4332,485,402630,4971,445,3.11402979163698,0,0,0,0,0,0,0,0,0,0,1
"20","2017-07-27",454690,206,4971,483,435700,8372,485,0,0,0,0,0,0,0,0,0,0,0,0
"21","2017-07-28",567610,277,8372,535,454690,9646,483,0,0,0,0,0,0,0,0,0,0,0,0
"22","2017-07-29",600850,269,9646,797,567610,6710,535,0,0,0,0,0,0,0,0,0,0,0,0
"23","2017-07-30",914700,411,6710,732,600850,4628,797,0,0,0,0,0,0,0,0,0,0,0,0
"24","2017-07-31",587630,283,4628,528,914700,4628,732,0,0,0,0,0,0,0,0,0,0,0,0
"25","2017-08-01",661830,318,4628,1081,587630,5274,528,0,0,0,0,0,0,0,0,0,0,0,0
"26","2017-08-02",476570,234,5274,821,661830,6994,1081,0,0,0,0,0,0,0,0,0,0,0,0
"27","2017-08-03",524920,247,6994,516,476570,6772,821,0,0,0,0,0,0,0,0,0,0,0,0
"28","2017-08-04",526200,254,6772,561,524920,6447,516,0,0,0,0,0,0,0,0,0,0,0,0
"29","2017-08-05",669190,311,6447,738,526200,5288,561,0,0,0,0,0,0,0,0,0,0,0,0
"30","2017-08-06",900150,451,5288,579,669190,5288,738,0,0,0,0,0,0,0,0,0,0,0,0
"31","2017-08-07",532930,247,5288,687,900150,5311,579,3.11402979163698,0,0,0,0,0,0,0,0,0,0,1
"32","2017-08-08",532930,247,5311,736,532930,6906,687,0,0,0,0,0,0,0,0,0,0,0,0
"33","2017-08-09",695120,310,6906,831,532930,9337,736,0,0,0,0,0,0,0,0,0,0,0,0
"34","2017-08-10",768610,392,9337,723,695120,10027,831,0,0,0,0,0,0,0,0,0,0,0,0
"35","2017-08-11",1057680,492,10027,911,768610,9211,723,3.11402979163698,0,0,0,0,0,0,0,0,0,0,1
"36","2017-08-12",1440060,576,9211,1094,1057680,11263,911,0,0,0,0,0,0,0,0,0,0,0,0
"37","2017-08-13",1491000,645,11263,905,1440060,9714,1094,0,0,0,0,0,0,0,0,0,0,0,0
"38","2017-08-14",1417250,564,9714,1112,1491000,9538,905,0,0,0,0,0,0,0,0,0,0,0,0
"39","2017-08-15",1196840,462,9538,671,1417250,8985,1112,0,0,0,0,0,0,0,0,0,0,0,0
"40","2017-08-16",991320,409,8985,894,1196840,8985,671,0,0,0,0,0,0,0,0,0,0,0,0
"41","2017-08-17",1012910,501,8985,906,991320,8985,894,0,0,0,0,0,0,0,0,0,0,0,0
"42","2017-08-18",964930,436,8985,672,1012910,8331,906,3.11402979163698,0,0,0,0,0,0,0,0,0,0,1
"43","2017-08-19",959420,464,8331,700,964930,8331,672,0,0,0,0,0,0,0,0,0,0,0,0
"44","2017-08-20",1080640,502,8331,758,959420,6257,700,0,0,0,0,0,0,0,0,0,0,0,0
"45","2017-08-21",809640,384,6257,732,1080640,6328,758,0,0,0,0,0,0,0,0,0,0,0,0
"46","2017-08-22",740220,357,6328,896,809640,6328,732,0,0,0,0,0,0,0,0,0,0,0,0
"47","2017-08-23",983260,439,6328,710,740220,6328,896,0,0,0,0,0,0,0,0,0,0,0,0
"48","2017-08-24",458620,216,6328,637,983260,7513,710,0,0,0,0,0,0,0,0,0,0,0,0
"49","2017-08-25",658000,322,7513,693,458620,7513,637,0,0,0,0,0,0,0,0,0,0,0,0
"50","2017-08-26",888170,394,7513,653,658000,5986,693,0,0,0,0,0,0,0,0,0,0,0,0
"51","2017-08-27",1147230,532,5986,998,888170,4419,653,0,0,0,0,0,0,0,0,0,0,0,0
"52","2017-08-28",740580,335,4419,741,1147230,2390,998,0,0,0,0,0,0,0,0,0,0,0,0
"53","2017-08-29",656970,321,2390,515,740580,4841,741,0,0,0,0,0,0,0,0,0,0,0,0
"54","2017-08-30",520090,242,4841,543,656970,4841,515,0,0,0,0,0,0,0,0,0,0,0,0
"55","2017-08-31",324530,167,4841,656,520090,4841,543,0,0,0,0,0,0,0,0,0,0,0,0
