,predicted_mean
2019-07-08,222.19855612643246
2019-07-09,265.0765397289781
2019-07-10,280.29243441981293
2019-07-11,287.2824882055454
2019-07-12,291.590638158447
2019-07-13,294.83031773441
2019-07-14,297.4986214787039
2019-07-15,299.77186648787216
2019-07-16,301.73099317340785
2019-07-17,303.42585619713293
2019-07-18,304.89393338632834
2019-07-19,306.1660886721459
2019-07-20,307.2686152008496
2019-07-21,308.2241725743432
2019-07-22,309.0523637776557
2019-07-23,309.7701687367033
2019-07-24,310.39230131753123
2019-07-25,310.9315134420512
2019-07-26,311.3988571729652
2019-07-27,311.80391144419724
2019-07-28,312.1549784523951
2019-07-29,312.45925383887067
2019-07-30,312.72297417948585
2019-07-31,312.95154481380627
2019-08-01,313.14965063591194
2019-08-02,313.32135211835
2019-08-03,313.4701685375679
2019-08-04,313.5991501067107
2019-08-05,313.7109404942634
2019-08-06,313.8078310099568
2019-08-07,313.8918075685576
2019-08-08,313.96459139413616
2019-08-09,314.0276742991053
2019-08-10,314.08234926112755
2019-08-11,314.1297369246094
2019-08-12,314.1708085699698
2019-08-13,314.20640602147216
2019-08-14,314.23725890166116
2019-08-15,314.2639995860579
2019-08-16,314.2871761646342
2019-08-17,314.3072636757292
2019-08-18,314.32467384266386
2019-08-19,314.3397635126215
2019-08-20,314.3528419707595
2019-08-21,314.3641772794673
2019-08-22,314.3740017727022
2019-08-23,314.38251681801864
2019-08-24,314.3898969438946
2019-08-25,314.39629341695155
2019-08-26,314.40183734238803
2019-08-27,314.40664235117515
2019-08-28,314.4108069290918
2019-08-29,314.4144164353367
2019-08-30,314.4175448520917
2019-08-31,314.42025630089626
2019-09-01,314.4226063569136
2019-09-02,314.424643188026
2019-09-03,314.4264085421068
2019-09-04,314.4279386027051
2019-09-05,314.42926473068144
2019-09-06,314.43041410699465
2019-09-07,314.43141028981637
2019-09-08,314.4322736973905
2019-09-09,314.4330220265352
2019-09-10,314.4336706153659
2019-09-11,314.4342327576721
2019-09-12,314.43471997539393
2019-09-13,314.4351422547809
2019-09-14,314.4355082510751
2019-09-15,314.4358254659131
2019-09-16,314.4361004010835
2019-09-17,314.43633869179
2019-09-18,314.4365452221541
2019-09-19,314.43672422532177
2019-09-20,314.43687937022827
2019-09-21,314.4370138367985
2019-09-22,314.4371303811241
2019-09-23,314.43723139195396
2019-09-24,314.4373189396547
2019-09-25,314.4373948186462
2019-09-26,314.437460584181
2019-09-27,314.43751758422115
2019-09-28,314.437566987067
2019-09-29,314.4376098053031
2019-09-30,314.4376469165528
2019-10-01,314.437679081466
2019-10-02,314.43770695931045
2019-10-03,314.43773112148375
2019-10-04,314.43775206322556
2019-10-05,314.4377702137679
2019-10-06,314.4377859451331
2019-10-07,314.43779957975875
2019-10-08,314.4378113971067
2019-10-09,314.4378216393911
2019-10-10,314.43783051654265
2019-10-11,314.4378382105118
2019-10-12,314.43784487899785
2019-10-13,314.4378506586813
2019-10-14,314.4378556680253
2019-10-15,314.43786000970385
2019-10-16,314.437863772706
2019-10-17,314.43786703416015
2019-10-18,314.4378698609146
2019-10-19,314.4378723109078
2019-10-20,314.4378744343561
2019-10-21,314.4378762747827
2019-10-22,314.4378778699098
2019-10-23,314.437879252432
2019-10-24,314.43788045068607
2019-10-25,314.43788148923204
2019-10-26,314.43788238935645
2019-10-27,314.4378831695086
2019-10-28,314.437883845679
2019-10-29,314.4378844317267
2019-10-30,314.43788493966355
2019-10-31,314.43788537990054
2019-11-01,314.437885761461
2019-11-02,314.43788609216557
2019-11-03,314.4378863787925
2019-11-04,314.4378866272166
2019-11-05,314.43788684252974
2019-11-06,314.43788702914514
2019-11-07,314.43788719088764
2019-11-08,314.43788733107243
2019-11-09,314.4378874525729
2019-11-10,314.43788755787926
2019-11-11,314.43788764914996
2019-11-12,314.43788772825576
2019-11-13,314.43788779681796
2019-11-14,314.43788785624196
2019-11-15,314.4378879077457
2019-11-16,314.4378879523848
2019-11-17,314.4378879910742
2019-11-18,314.437888024607
2019-11-19,314.43788805367035
2019-11-20,314.43788807886
2019-11-21,314.4378881006923
2019-11-22,314.4378881196147
2019-11-23,314.43788813601503
2019-11-24,314.4378881502295
2019-11-25,314.43788816254937
2019-11-26,314.43788817322724
2019-11-27,314.4378881824819
2019-11-28,314.43788819050303
2019-11-29,314.4378881974551
2019-11-30,314.43788820348055
2019-12-01,314.43788820870293
2019-12-02,314.43788821322926
2019-12-03,314.4378882171523
2019-12-04,314.43788822055245
2019-12-05,314.4378882234994
2019-12-06,314.4378882260536
2019-12-07,314.4378882282673
2019-12-08,314.437888230186
2019-12-09,314.437888231849
2019-12-10,314.43788823329027
2019-12-11,314.4378882345395
2019-12-12,314.4378882356222
2019-12-13,314.43788823656064
2019-12-14,314.43788823737395
2019-12-15,314.43788823807887
2019-12-16,314.4378882386898
2019-12-17,314.4378882392194
2019-12-18,314.43788823967833
2019-12-19,314.4378882400761
2019-12-20,314.4378882404209
2019-12-21,314.4378882407197
2019-12-22,314.4378882409787
2019-12-23,314.43788824120315
2019-12-24,314.43788824139773
2019-12-25,314.4378882415663
2019-12-26,314.43788824171247
2019-12-27,314.4378882418392
2019-12-28,314.43788824194894
2019-12-29,314.4378882420441
2019-12-30,314.4378882421266
2019-12-31,314.437888242198
2020-01-01,314.43788824226
2020-01-02,314.4378882423137
2020-01-03,314.4378882423602
2020-01-04,314.43788824240056
2020-01-05,314.4378882424355
2020-01-06,314.4378882424658
2020-01-07,314.4378882424921
2020-01-08,314.4378882425148
2020-01-09,314.43788824253454
2020-01-10,314.43788824255165
2020-01-11,314.4378882425665
2020-01-12,314.43788824257933
2020-01-13,314.4378882425905
2020-01-14,314.4378882426001
2020-01-15,314.43788824260844
2020-01-16,314.4378882426157
2020-01-17,314.43788824262197
2020-01-18,314.4378882426274
2020-01-19,314.43788824263214
2020-01-20,314.43788824263623
2020-01-21,314.43788824263976
2020-01-22,314.4378882426429
2020-01-23,314.4378882426455
2020-01-24,314.43788824264783
2020-01-25,314.4378882426498
2020-01-26,314.4378882426516
2020-01-27,314.43788824265306
2020-01-28,314.43788824265437
2020-01-29,314.4378882426555
2020-01-30,314.43788824265647
2020-01-31,314.4378882426573
2020-02-01,314.43788824265806
2020-02-02,314.4378882426587
2020-02-03,314.43788824265926
2020-02-04,314.4378882426597
2020-02-05,314.43788824266016
2020-02-06,314.4378882426605
2020-02-07,314.4378882426608
2020-02-08,314.4378882426611
2020-02-09,314.4378882426613
2020-02-10,314.43788824266153
2020-02-11,314.4378882426617
2020-02-12,314.43788824266187
2020-02-13,314.437888242662
2020-02-14,314.4378882426621
2020-02-15,314.4378882426622
2020-02-16,314.43788824266227
2020-02-17,314.4378882426623
2020-02-18,314.43788824266244
2020-02-19,314.4378882426625
2020-02-20,314.4378882426625
2020-02-21,314.43788824266255
2020-02-22,314.4378882426626
2020-02-23,314.4378882426626
2020-02-24,314.43788824266267
2020-02-25,314.43788824266267
2020-02-26,314.4378882426627
2020-02-27,314.4378882426627
2020-02-28,314.4378882426627
2020-02-29,314.4378882426627
2020-03-01,314.4378882426628
2020-03-02,314.4378882426628
2020-03-03,314.4378882426628
2020-03-04,314.4378882426628
2020-03-05,314.4378882426628
2020-03-06,314.4378882426628
2020-03-07,314.4378882426628
2020-03-08,314.43788824266284
2020-03-09,314.43788824266284
2020-03-10,314.43788824266284
2020-03-11,314.43788824266284
2020-03-12,314.43788824266284
2020-03-13,314.43788824266284
2020-03-14,314.43788824266284
2020-03-15,314.43788824266284
2020-03-16,314.43788824266284
2020-03-17,314.43788824266284
2020-03-18,314.43788824266284
2020-03-19,314.43788824266284
2020-03-20,314.43788824266284
2020-03-21,314.43788824266284
2020-03-22,314.43788824266284
2020-03-23,314.43788824266284
2020-03-24,314.43788824266284
2020-03-25,314.43788824266284
2020-03-26,314.43788824266284
2020-03-27,314.43788824266284
2020-03-28,314.43788824266284
2020-03-29,314.43788824266284
2020-03-30,314.43788824266284
