,predicted_mean
2019-07-08,314.83450379191896
2019-07-09,294.9889875863063
2019-07-10,291.78639320761397
2019-07-11,293.01325443739603
2019-07-12,295.22458135098424
2019-07-13,297.4734355005727
2019-07-14,299.52132200857085
2019-07-15,301.3278491626305
2019-07-16,302.9055620451885
2019-07-17,304.278969143879
2019-07-18,305.47325602702387
2019-07-19,306.511421294512
2019-07-20,307.413770348129
2019-07-21,308.1980415977422
2019-07-22,308.87967780754605
2019-07-23,309.4721080869323
2019-07-24,309.98700615517197
2019-07-25,310.4345185692074
2019-07-26,310.8234641571465
2019-07-27,311.161507658236
2019-07-28,311.4553107258031
2019-07-29,311.71066319314224
2019-07-30,311.93259716751083
2019-07-31,312.1254861944513
2019-08-01,312.2931314448605
2019-08-02,312.4388366227488
2019-08-03,312.5654730697178
2019-08-04,312.67553634909655
2019-08-05,312.77119542480114
2019-08-06,312.85433540405944
2019-08-07,312.92659468630893
2019-08-08,312.98939725034376
2019-08-09,313.0439807159769
2019-08-10,313.0914207332168
2019-08-11,313.13265217958286
2019-08-12,313.1684875832852
2019-08-13,313.1996331353259
2019-08-14,313.22670260606435
2019-08-15,313.2502294404933
2019-08-16,313.2706772705818
2019-08-17,313.28844905184684
2019-08-18,313.3038950042029
2019-08-19,313.31731951357693
2019-08-20,313.3289871302948
2019-08-21,313.339127782447
2019-08-22,313.3479413069703
2019-08-23,313.355601387738
2019-08-24,313.36225897826404
2019-08-25,313.36804527647115
2019-08-26,313.373074310145
2019-08-27,313.37744518402445
2019-08-28,313.38124403281114
2019-08-29,313.3845457185844
2019-08-30,313.3874153060718
2019-08-31,313.3899093448489
2019-09-01,313.39207698373383
2019-09-02,313.39396093933976
2019-09-03,313.3955983378704
2019-09-04,313.39702144674817
2019-09-05,313.3982583104928
2019-09-06,313.39933330338096
2019-09-07,313.4002676097786
2019-09-08,313.4010796416109
2019-09-09,313.4017854011973
2019-09-10,313.40239879660106
2019-09-11,313.4029319157094
2019-09-12,313.4033952644433
2019-09-13,313.4037979737925
2019-09-14,313.40414797975586
2019-09-15,313.40445217973183
2019-09-16,313.4047165684425
2019-09-17,313.40494635606865
2019-09-18,313.40514607092405
2019-09-19,313.4053196486929
2019-09-20,313.40547050998856
2019-09-21,313.40560162776177
2019-09-22,313.4057155858872
2019-09-23,313.40581463008255
2019-09-24,313.40590071216405
2019-09-25,313.4059755285096
2019-09-26,313.406040553489
2019-09-27,313.4060970685179
2019-09-28,313.4061461873109
2019-09-29,313.40618887782824
2019-09-30,313.4062259813513
2019-10-01,313.40625822906145
2019-10-02,313.40628625644854
2019-10-03,313.4063106158349
2019-10-04,313.4063317872592
2019-10-05,313.4063501879364
2019-10-06,313.4063661804799
2019-10-07,313.40638008004686
2019-10-08,313.4063921605494
2019-10-09,313.4064026600522
2019-10-10,313.4064117854639
2019-10-11,313.4064197166145
2019-10-12,313.4064266097994
2019-10-13,313.40643260085926
2019-10-14,313.406437807857
2019-10-15,313.40644233340447
2019-10-16,313.4064462666844
2019-10-17,313.40644968520803
2019-10-18,313.40645265634254
2019-10-19,313.4064552386387
2019-10-20,313.40645748298454
2019-10-21,313.40645943360835
2019-10-22,313.40646112895
2019-10-23,313.4064626024189
2019-10-24,313.40646388305197
2019-10-25,313.406464996086
2019-10-26,313.40646596345505
2019-10-27,313.4064668042225
2019-10-28,313.406467534957
2019-10-29,313.4064681700589
2019-10-30,313.40646872204366
2019-10-31,313.40646920178904
2019-11-01,313.4064696187492
2019-11-02,313.40646998114096
2019-11-03,313.40647029610574
2019-11-04,313.40647056985046
2019-11-05,313.40647080776967
2019-11-06,313.4064710145519
2019-11-07,313.4064711942721
2019-11-08,313.40647135047203
2019-11-09,313.4064714862297
2019-11-10,313.4064716042205
2019-11-11,313.4064717067696
2019-11-12,313.4064717958979
2019-11-13,313.4064718733618
2019-11-14,313.4064719406878
2019-11-15,313.4064719992028
2019-11-16,313.40647205005973
2019-11-17,313.40647209426095
2019-11-18,313.4064721326775
2019-11-19,313.40647216606635
2019-11-20,313.40647219508554
2019-11-21,313.40647222030697
2019-11-22,313.4064722422276
2019-11-23,313.4064722612794
2019-11-24,313.4064722778379
2019-11-25,313.4064722922293
2019-11-26,313.4064723047373
2019-11-27,313.40647231560837
2019-11-28,313.4064723250567
2019-11-29,313.40647233326854
2019-11-30,313.4064723404056
2019-12-01,313.4064723466087
2019-12-02,313.406472352
2019-12-03,313.40647235668564
2019-12-04,313.40647236075813
2019-12-05,313.4064723642976
2019-12-06,313.4064723673739
2019-12-07,313.4064723700476
2019-12-08,313.40647237237135
2019-12-09,313.406472374391
2019-12-10,313.4064723761463
2019-12-11,313.40647237767195
2019-12-12,313.4064723789979
2019-12-13,313.4064723801503
2019-12-14,313.4064723811519
2019-12-15,313.40647238202246
2019-12-16,313.40647238277904
2019-12-17,313.4064723834366
2019-12-18,313.4064723840081
2019-12-19,313.40647238450487
2019-12-20,313.40647238493654
2019-12-21,313.40647238531176
2019-12-22,313.40647238563787
2019-12-23,313.4064723859213
2019-12-24,313.40647238616765
2019-12-25,313.4064723863818
2019-12-26,313.4064723865678
2019-12-27,313.40647238672955
2019-12-28,313.4064723868701
2019-12-29,313.4064723869923
2019-12-30,313.40647238709846
2019-12-31,313.4064723871908
2020-01-01,313.406472387271
2020-01-02,313.40647238734067
2020-01-03,313.40647238740127
2020-01-04,313.4064723874539
2020-01-05,313.40647238749966
2020-01-06,313.40647238753945
2020-01-07,313.406472387574
2020-01-08,313.4064723876041
2020-01-09,313.4064723876302
2020-01-10,313.40647238765285
2020-01-11,313.4064723876726
2020-01-12,313.40647238768975
2020-01-13,313.40647238770464
2020-01-14,313.4064723877176
2020-01-15,313.40647238772885
2020-01-16,313.40647238773863
2020-01-17,313.40647238774716
2020-01-18,313.40647238775455
2020-01-19,313.40647238776097
2020-01-20,313.40647238776654
2020-01-21,313.4064723877714
2020-01-22,313.4064723877756
2020-01-23,313.4064723877793
2020-01-24,313.40647238778246
2020-01-25,313.40647238778524
2020-01-26,313.40647238778763
2020-01-27,313.40647238778973
2020-01-28,313.40647238779155
2020-01-29,313.4064723877931
2020-01-30,313.4064723877945
2020-01-31,313.4064723877957
2020-02-01,313.4064723877967
2020-02-02,313.40647238779763
2020-02-03,313.4064723877984
2020-02-04,313.40647238779906
2020-02-05,313.4064723877997
2020-02-06,313.4064723878002
2020-02-07,313.40647238780065
2020-02-08,313.40647238780105
2020-02-09,313.4064723878014
2020-02-10,313.40647238780167
2020-02-11,313.4064723878019
2020-02-12,313.4064723878021
2020-02-13,313.4064723878023
2020-02-14,313.40647238780247
2020-02-15,313.40647238780264
2020-02-16,313.40647238780275
2020-02-17,313.40647238780286
2020-02-18,313.406472387803
2020-02-19,313.40647238780303
2020-02-20,313.40647238780315
2020-02-21,313.4064723878032
2020-02-22,313.40647238780326
2020-02-23,313.40647238780326
2020-02-24,313.4064723878033
2020-02-25,313.4064723878034
2020-02-26,313.4064723878034
2020-02-27,313.40647238780343
2020-02-28,313.40647238780343
2020-02-29,313.4064723878035
2020-03-01,313.4064723878035
2020-03-02,313.4064723878035
2020-03-03,313.4064723878035
2020-03-04,313.40647238780355
2020-03-05,313.40647238780355
2020-03-06,313.40647238780355
2020-03-07,313.40647238780355
2020-03-08,313.40647238780355
2020-03-09,313.40647238780355
2020-03-10,313.40647238780355
2020-03-11,313.40647238780355
2020-03-12,313.4064723878036
2020-03-13,313.4064723878036
2020-03-14,313.4064723878036
2020-03-15,313.4064723878036
2020-03-16,313.4064723878036
2020-03-17,313.4064723878036
2020-03-18,313.4064723878036
2020-03-19,313.4064723878036
2020-03-20,313.4064723878036
2020-03-21,313.4064723878036
2020-03-22,313.4064723878036
2020-03-23,313.4064723878036
2020-03-24,313.4064723878036
2020-03-25,313.4064723878036
2020-03-26,313.4064723878036
2020-03-27,313.4064723878036
2020-03-28,313.4064723878036
2020-03-29,313.4064723878036
2020-03-30,313.4064723878036
2020-03-31,313.4064723878036
2020-04-01,313.4064723878036
