"","x"
"1",387.691758239331
"2",180.010145638207
"3",157.719134700433
"4",166.12268358855
"5",149.236818966464
"6",166.220179276477
"7",401.443007563241
"8",437.366161753931
"9",219.361357086044
"10",149.152156419768
"11",171.490820662446
"12",129.133460526787
"13",154.963113861563
"14",373.214346351707
"15",401.002941236689
"16",149.381602081527
"17",120.98129174206
"18",177.013278833579
"19",130.963099942416
"20",156.765147608452
"21",339.533431309209
"22",357.0549687418
"23",112.366309382191
"24",106.694754725609
"25",148.254808367772
"26",79.6502377698459
"27",105.464000368726
"28",336.668977895146
"29",279.190750962423
"30",79.6700331024644
