"","x"
"1",389.710136908762
"2",180.768869027768
"3",153.998032832995
"4",172.955260639962
"5",159.282877996127
"6",169.005166425644
"7",419.364067461565
"8",455.232876613629
"9",230.672296928041
"10",150.587038455936
"11",188.06701224573
"12",139.853706638679
"13",159.440768977477
"14",391.601849338751
"15",423.634593506728
"16",156.773066594962
"17",137.542922092563
"18",198.333776752681
"19",155.804046526249
"20",183.695863609248
"21",366.634560205551
"22",379.466858895731
"23",114.400112609091
"24",123.667498716123
"25",171.82425388068
"26",95.6334784225465
"27",123.339506518672
"28",378.596164771971
"29",296.893655300073
"30",91.3972699976238
