"","x"
"1",384.687238134265
"2",216.665351135776
"3",203.560277693734
"4",233.554324894967
"5",199.058863950882
"6",229.726714503638
"7",491.258345734871
"8",507.762254183374
"9",270.468613134222
"10",214.399832832541
"11",247.852918199163
"12",206.560256359982
"13",228.978639507954
"14",441.290655231287
"15",409.977417023678
"16",215.922297286372
"17",205.651688966848
"18",234.595586307511
"19",195.318061498582
"20",219.754047046806
"21",477.251152834882
"22",392.842428458531
"23",176.827942309769
"24",190.355113219173
"25",220.18229834066
"26",159.117396079165
"27",195.936169169598
"28",396.386069128852
"29",324.116649125431
"30",159.06065064676
