"","x"
"1",385.793676175906
"2",214.824547103982
"3",206.601296817909
"4",247.320300506869
"5",214.522191416111
"6",248.911310948152
"7",543.104621492768
"8",543.610371517068
"9",294.771210679138
"10",229.166643546149
"11",280.438394781648
"12",242.849712301956
"13",250.872997521583
"14",490.384363198022
"15",448.651085616985
"16",242.624427658895
"17",241.885807680979
"18",276.736368112546
"19",243.304879176522
"20",275.413772824153
"21",556.100989409738
"22",436.608282973849
"23",203.14658058335
"24",233.799084043642
"25",282.489253638057
"26",219.288536883727
"27",251.029852011162
"28",473.682036639846
"29",355.962292637741
"30",197.847330905102
