"","x"
"1",392.832411315033
"2",210.897355958573
"3",189.780919679114
"4",220.569783534197
"5",196.549054232286
"6",236.148112715166
"7",495.324107258528
"8",513.692748112783
"9",277.443818230259
"10",197.765313216454
"11",236.758251642887
"12",200.112390429543
"13",227.789562416845
"14",442.266539985299
"15",406.557974332129
"16",209.741570389999
"17",194.826811482127
"18",238.520366325042
"19",210.31972519241
"20",224.839831434514
"21",487.783328873604
"22",394.998492165508
"23",182.652922662526
"24",186.370259816516
"25",220.70972506902
"26",171.480332331768
"27",201.735393932294
"28",411.968023638523
"29",320.346997779556
"30",167.452321305102
