"","x"
"1",396.948771681123
"2",208.712968499566
"3",191.932267781657
"4",225.877607246287
"5",212.781669266651
"6",253.919535358641
"7",538.053593125608
"8",547.223517322103
"9",297.029993561836
"10",211.458955299133
"11",269.226902872509
"12",223.697303671287
"13",251.392510613151
"14",488.456023354111
"15",443.256200042987
"16",212.108803224311
"17",209.520518071194
"18",277.364593037833
"19",243.039977719672
"20",261.60951094684
"21",547.720520014359
"22",427.430407052668
"23",190.942237657051
"24",214.154388695378
"25",259.099829559704
"26",200.256783035962
"27",234.274592005704
"28",475.818492754414
"29",328.588153939105
"30",180.320816070994
