"","x"
"1",399.79783812341
"2",191.871505740164
"3",168.81771623224
"4",222.725150736473
"5",213.334324306221
"6",332.483238952303
"7",598.993384644664
"8",623.232981131408
"9",284.459889141965
"10",209.428277006777
"11",255.503435318614
"12",214.593979434284
"13",242.629970320599
"14",473.512605899247
"15",440.26883969533
"16",173.676064976452
"17",204.615353376466
"18",266.350148946526
"19",233.205764064354
"20",259.55154104344
"21",504.790203533905
"22",416.271223301779
"23",165.956116638484
"24",195.09317591128
"25",225.992834584281
"26",182.789484472235
"27",214.129037465111
"28",426.705727385917
"29",307.9255437341
"30",155.484457084015
