"","x"
"1",401.463499170471
"2",192.593972088987
"3",164.632679100342
"4",226.003939818664
"5",219.121196686978
"6",338.547561648811
"7",618.331207604276
"8",633.493783969304
"9",292.75263130823
"10",216.811875412014
"11",263.888899101427
"12",223.657776560644
"13",246.056263779597
"14",487.380224174292
"15",448.942236247272
"16",180.417931131971
"17",217.117267565413
"18",280.626156030333
"19",247.66368977921
"20",277.359876453863
"21",529.755848543832
"22",437.232660412468
"23",172.568095779721
"24",207.916508225762
"25",240.902932215506
"26",201.247651665554
"27",228.066209936881
"28",454.430694614282
"29",317.74275744447
"30",164.077031518266
