"","x"
"1",259.400035914979
"2",158.45890150014
"3",113.063096679834
"4",208.320803151355
"5",211.210472959274
"6",391.389650557048
"7",566.112295677967
"8",450.95120814702
"9",191.673875972761
"10",190.746258561076
"11",166.629259038096
"12",148.445735733547
"13",339.583097373931
"14",466.626147698484
"15",245.425036769684
"16",165.521701681503
"17",228.594724831942
"18",234.768500122486
"19",210.9740048363
"20",294.377852454549
"21",391.603784777004
"22",218.693494619719
"23",160.445129126988
"24",204.482750726131
"25",128.02889667874
"26",114.942010433186
"27",360.765452823618
"28",248.865906635676
"29",182.429586148334
"30",186.786426565045
