"","x"
"1",259.298196980007
"2",157.415184567527
"3",115.028770607605
"4",208.504962862566
"5",210.327398997534
"6",393.067360195294
"7",567.617724084842
"8",452.696279698755
"9",191.717705522583
"10",188.328859361164
"11",165.259248064971
"12",148.421741863302
"13",340.545573806767
"14",470.00974922378
"15",246.285938310468
"16",166.963851345134
"17",226.85466085382
"18",234.938366534112
"19",212.285565462064
"20",294.600492720064
"21",396.794421053664
"22",221.95084630221
"23",162.650432809074
"24",207.198383011332
"25",133.361882066785
"26",118.058823678089
"27",367.79395875465
"28",248.334337700615
"29",186.132199915182
"30",193.972642041821
