"","x"
"1",390.229538349582
"2",239.345634619481
"3",203.307325621236
"4",237.342602346532
"5",189.1360898063
"6",241.270998494558
"7",421.579553989387
"8",445.588522140176
"9",239.875983520898
"10",194.442057640261
"11",218.835608093667
"12",190.716742098386
"13",222.584645753462
"14",385.388284101758
"15",360.238616074051
"16",226.844416564413
"17",204.421124736323
"18",191.285163658115
"19",167.992037722437
"20",183.920484956299
"21",428.788848997451
"22",348.993122975253
"23",207.650910496225
"24",183.913040790628
"25",193.685201271317
"26",171.08968012351
"27",199.801470462914
"28",331.343798701464
"29",342.323834914865
"30",200.080585413536
