"","x"
"1",391.627202508532
"2",238.614950826775
"3",202.144135470714
"4",234.852641359715
"5",189.426372986158
"6",230.958513222343
"7",423.54106756455
"8",443.126427937992
"9",248.318134766813
"10",200.871256844716
"11",225.109521667487
"12",193.352781431677
"13",220.133235210182
"14",394.146085964032
"15",358.626527243864
"16",236.540880340502
"17",200.744644448466
"18",183.503210591263
"19",180.156648918954
"20",180.266487231105
"21",427.835394152098
"22",342.868214077625
"23",208.215467450451
"24",178.150749121443
"25",185.178837737442
"26",154.005136230543
"27",207.793436037094
"28",334.196290357401
"29",341.525332183401
"30",225.487729883527
