date,salesTotal,CustNum,kankou,day1_cast,day1_sales,day1_kankou,event_impact
2018-02-03,1163802.0,434.0,4869.0,233.0,485010.0,1045.0,0.0
2018-02-04,1096200.0,430.0,2616.0,434.0,1163802.0,4869.0,0.0
2018-02-05,646822.0,280.0,1643.0,430.0,1096200.0,2616.0,0.0
2018-02-06,548412.0,255.0,837.0,280.0,646822.0,1643.0,0.0
2018-02-07,492354.0,217.0,1219.0,255.0,548412.0,837.0,0.0
2018-02-08,569360.0,243.0,1110.0,217.0,492354.0,1219.0,0.0
2018-02-09,595432.0,253.0,2175.0,243.0,569360.0,1110.0,0.0
2018-02-10,1083834.0,408.0,7359.0,253.0,595432.0,2175.0,0.0
2018-02-11,1724827.0,704.0,4437.0,408.0,1083834.0,7359.0,0.0
2018-02-12,1204812.0,469.0,2435.0,704.0,1724827.0,4437.0,0.0
2018-02-13,723810.0,310.0,1892.0,469.0,1204812.0,2435.0,0.0
2018-02-14,671484.0,278.0,1787.0,310.0,723810.0,1892.0,0.0
2018-02-15,635364.0,250.0,2056.0,278.0,671484.0,1787.0,0.0
2018-02-16,777740.0,322.0,2703.0,250.0,635364.0,2056.0,0.0
2018-02-17,1159461.0,500.0,7905.0,322.0,777740.0,2703.0,0.0
2018-02-18,1178438.0,532.0,6103.0,500.0,1159461.0,7905.0,0.0
2018-02-19,776768.0,353.0,3534.0,532.0,1178438.0,6103.0,0.0
2018-02-20,685354.0,277.0,2847.0,353.0,776768.0,3534.0,0.0
2018-02-21,705712.0,322.0,2554.0,277.0,685354.0,2847.0,0.0
2018-02-22,462372.0,220.0,2146.0,322.0,705712.0,2554.0,0.0
2018-02-23,678588.0,292.0,3584.0,220.0,462372.0,2146.0,0.0
2018-02-24,1132556.0,478.0,6264.0,292.0,678588.0,3584.0,0.0
2018-02-25,1095512.0,450.0,4291.0,478.0,1132556.0,6264.0,0.0
2018-02-26,704908.0,277.0,1613.0,450.0,1095512.0,4291.0,0.0
2018-02-27,582609.0,274.0,1155.0,277.0,704908.0,1613.0,-3.59
2018-02-28,338580.0,156.0,1187.0,274.0,582609.0,1155.0,-3.59
2018-03-01,383030.0,172.0,2330.0,156.0,338580.0,1187.0,0.0
2018-03-02,456218.0,204.0,5718.0,172.0,383030.0,2330.0,0.0
2018-03-03,1117905.0,453.0,3350.0,204.0,456218.0,5718.0,0.0
2018-03-04,1132461.0,474.0,3350.0,453.0,1117905.0,3350.0,-3.59
2018-03-05,545497.0,245.0,3350.0,474.0,1132461.0,3350.0,0.0
2018-03-06,470670.0,216.0,2148.0,245.0,545497.0,3350.0,0.0
2018-03-07,728072.0,304.0,1747.0,216.0,470670.0,2148.0,-3.59
2018-03-08,534294.0,206.0,1581.0,304.0,728072.0,1747.0,-3.59
2018-03-09,418619.0,182.0,2970.0,206.0,534294.0,1581.0,0.0
2018-03-10,1175920.0,498.0,7004.0,182.0,418619.0,2970.0,0.0
2018-03-11,1191010.0,497.0,3689.0,498.0,1175920.0,7004.0,0.0
2018-03-12,757705.0,331.0,2083.0,497.0,1191010.0,3689.0,0.0
2018-03-13,633906.0,287.0,1976.0,331.0,757705.0,2083.0,0.0
2018-03-14,720762.0,306.0,2779.0,287.0,633906.0,1976.0,0.0
2018-03-15,613300.0,272.0,2702.0,306.0,720762.0,2779.0,0.0
2018-03-16,617900.0,289.0,3960.0,272.0,613300.0,2702.0,0.0
2018-03-17,1145700.0,496.0,6389.0,289.0,617900.0,3960.0,0.0
2018-03-18,1203930.0,505.0,6762.0,496.0,1145700.0,6389.0,0.0
2018-03-19,736870.0,332.0,4077.0,505.0,1203930.0,6762.0,-3.59
2018-03-20,777210.0,319.0,2531.0,332.0,736870.0,4077.0,-3.59
2018-03-21,800230.0,317.0,2493.0,319.0,777210.0,2531.0,-3.59
2018-03-22,804760.0,343.0,2658.0,317.0,800230.0,2493.0,0.0
2018-03-23,695130.0,300.0,4823.0,343.0,804760.0,2658.0,0.0
